stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
sequential,none,0.0,0.0,1000,100000000,20000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,1000,80001000,1000,1,20000,19999,1,1.249984,0.99995
sequential,accuracy,0.0,0.0,1000,100000000,20000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,1000,98092000,18092000,18092,19992,1908,18084,1.019451,0.0954
sequential,accuracy,0.2,0.198179,1000,96038000,16038000,16038,19992,3962,16030,1.041255,0.1981
sequential,accuracy,0.3,0.303621,1000,93930000,13930000,13930,19992,6070,13922,1.064623,0.3035
sequential,accuracy,0.4,0.403561,1000,91932000,11932000,11932,19992,8068,11924,1.087761,0.4034
sequential,accuracy,0.5,0.50095,1000,89985000,9985000,9985,19992,10015,9977,1.111296,0.50075
sequential,accuracy,0.6,0.602291,1000,87959000,7959000,7959,19992,12041,7951,1.136893,0.60205
sequential,accuracy,0.7,0.70118,1000,85982000,5982000,5982,19992,14018,5974,1.163034,0.7009
sequential,accuracy,0.8,0.80087,1000,83989000,3989000,3989,19992,16011,3981,1.190632,0.80055
sequential,accuracy,0.9,0.90051,1000,81997000,1997000,1997,19992,18003,1989,1.219557,0.90015
sequential,accuracy,0.95,0.94978,1000,81012000,1012000,1012,19992,18988,1004,1.234385,0.9494
sequential,accuracy,1.0,1.0,1000,80008000,8000,8,19992,19992,0,1.249875,0.9996
sequential,none,0.0,0.0,2000,120000000,40000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,2000,80002000,2000,1,20000,19999,1,1.499963,0.99995
sequential,accuracy,0.0,0.0,2000,120000000,40000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,2000,116184000,36184000,18092,19992,1908,18084,1.032844,0.0954
sequential,accuracy,0.2,0.198179,2000,112076000,32076000,16038,19992,3962,16030,1.070702,0.1981
sequential,accuracy,0.3,0.303621,2000,107860000,27860000,13930,19992,6070,13922,1.112553,0.3035
sequential,accuracy,0.4,0.403561,2000,103864000,23864000,11932,19992,8068,11924,1.155357,0.4034
sequential,accuracy,0.5,0.50095,2000,99970000,19970000,9985,19992,10015,9977,1.20036,0.50075
sequential,accuracy,0.6,0.602291,2000,95918000,15918000,7959,19992,12041,7951,1.251069,0.60205
sequential,accuracy,0.7,0.70118,2000,91964000,11964000,5982,19992,14018,5974,1.304858,0.7009
sequential,accuracy,0.8,0.80087,2000,87978000,7978000,3989,19992,16011,3981,1.363977,0.80055
sequential,accuracy,0.9,0.90051,2000,83994000,3994000,1997,19992,18003,1989,1.428673,0.90015
sequential,accuracy,0.95,0.94978,2000,82024000,2024000,1012,19992,18988,1004,1.462986,0.9494
sequential,accuracy,1.0,1.0,2000,80016000,16000,8,19992,19992,0,1.4997,0.9996
sequential,none,0.0,0.0,4000,160000000,80000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,4000,80004000,4000,1,20000,19999,1,1.9999,0.99995
sequential,accuracy,0.0,0.0,4000,160000000,80000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,4000,152368000,72368000,18092,19992,1908,18084,1.050089,0.0954
sequential,accuracy,0.2,0.198179,4000,144152000,64152000,16038,19992,3962,16030,1.10994,0.1981
sequential,accuracy,0.3,0.303621,4000,135720000,55720000,13930,19992,6070,13922,1.178898,0.3035
sequential,accuracy,0.4,0.403561,4000,127728000,47728000,11932,19992,8068,11924,1.252662,0.4034
sequential,accuracy,0.5,0.50095,4000,119940000,39940000,9985,19992,10015,9977,1.334,0.50075
sequential,accuracy,0.6,0.602291,4000,111836000,31836000,7959,19992,12041,7951,1.430666,0.60205
sequential,accuracy,0.7,0.70118,4000,103928000,23928000,5982,19992,14018,5974,1.539527,0.7009
sequential,accuracy,0.8,0.80087,4000,95956000,15956000,3989,19992,16011,3981,1.667431,0.80055
sequential,accuracy,0.9,0.90051,4000,87988000,7988000,1997,19992,18003,1989,1.81843,0.90015
sequential,accuracy,0.95,0.94978,4000,84048000,4048000,1012,19992,18988,1004,1.903674,0.9494
sequential,accuracy,1.0,1.0,4000,80032000,32000,8,19992,19992,0,1.9992,0.9996
sequential,none,0.0,0.0,5000,180000000,100000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,5000,90004000,10004000,1,20000,19999,1,1.999911,0.89996
sequential,accuracy,0.0,0.0,5000,180000000,100000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,5000,170460000,90460000,18092,19992,1908,18084,1.055966,0.0954
sequential,accuracy,0.2,0.198179,5000,160190000,80190000,16038,19992,3962,16030,1.123666,0.1981
sequential,accuracy,0.3,0.303621,5000,149650000,69650000,13930,19992,6070,13922,1.202807,0.3035
sequential,accuracy,0.4,0.403561,5000,139660000,59660000,11932,19992,8068,11924,1.288844,0.4034
